Gmt time;Open;High;Low;Close;Volume
2024-05-30;2338.11;2351.8;2322.66;2343.01;158393
2024-05-31;2342.9;2359.79;2320.6;2327.63;161994
2024-06-03;2326.31;2354.71;2314.79;2350.56;156746
2024-06-04;2350.3;2352.81;2315.62;2326.84;157328
2024-06-05;2326.7;2357.45;2325.91;2355.0;139972
2024-06-06;2354.71;2378.53;2353.54;2375.92;145402
2024-06-07;2375.89;2387.75;2286.67;2293.32;173822
2024-06-10;2293.56;2313.79;2287.75;2310.79;114729
2024-06-11;2311.99;2319.93;2297.76;2316.73;161271
2024-06-12;2316.5;2341.7;2310.73;2324.36;174394
2024-06-13;2324.11;2326.63;2295.58;2304.01;166958
2024-06-14;2303.67;2336.66;2300.27;2332.6;160115
2024-06-17;2329.19;2332.5;2310.03;2318.99;136635
2024-06-18;2318.65;2333.1;2306.59;2329.28;141596
2024-06-19;2329.14;2335.07;2323.84;2327.91;104401
2024-06-20;2326.77;2365.54;2324.91;2359.43;166071
2024-06-21;2359.98;2368.77;2316.74;2321.41;193766
2024-06-24;2319.91;2334.7;2317.59;2333.74;176132
2024-06-25;2331.86;2337.15;2315.55;2319.31;176870
2024-06-26;2319.58;2323.86;2293.71;2298.22;198166
2024-06-27;2298.23;2330.91;2296.56;2327.8;182215
2024-06-28;2327.17;2339.78;2319.06;2326.44;187061
2024-07-01;2326.24;2338.56;2318.52;2331.84;184364
2024-07-02;2330.9;2336.81;2319.13;2329.52;168534
2024-07-03;2329.37;2364.98;2326.92;2356.03;178286
2024-07-04;2356.66;2362.55;2350.56;2356.63;101619
2024-07-05;2357.46;2392.94;2349.95;2391.08;171408
2024-07-08;2385.74;2391.09;2351.11;2358.83;155698
2024-07-09;2358.27;2371.53;2349.45;2363.87;146290
2024-07-10;2363.78;2386.63;2361.76;2371.43;111537
2024-07-11;2368.96;2424.59;2368.96;2414.78;158289
2024-07-12;2415.54;2418.26;2391.44;2411.59;176205
2024-07-15;2413.82;2439.75;2401.35;2421.84;174711
2024-07-16;2421.42;2469.73;2420.04;2468.47;181031
2024-07-17;2467.42;2483.71;2451.49;2459.11;213636
2024-07-18;2458.16;2474.91;2440.31;2445.07;185056
2024-07-19;2444.65;2445.81;2393.79;2400.39;193441
2024-07-22;2400.52;2412.22;2383.95;2396.26;169364
2024-07-23;2396.3;2412.08;2388.24;2409.38;168011
2024-07-24;2408.88;2432.0;2397.11;2397.64;180106
2024-07-25;2397.04;2401.22;2353.15;2364.63;233508
2024-07-26;2364.27;2390.8;2355.85;2387.32;178901
2024-07-29;2387.69;2403.13;2369.6;2383.59;175457
2024-07-30;2382.76;2412.79;2376.52;2411.26;177106
2024-07-31;2410.49;2450.96;2403.92;2447.86;194562
2024-08-01;2448.72;2462.26;2430.26;2446.84;222130
2024-08-02;2446.22;2477.62;2410.77;2441.36;231900
2024-08-05;2441.25;2458.86;2364.25;2409.34;285755
2024-08-06;2408.29;2418.32;2381.68;2389.24;242587
2024-08-07;2391.44;2407.08;2379.03;2382.64;203717
2024-08-08;2381.75;2427.71;2380.86;2426.85;206244
2024-08-09;2426.11;2437.07;2416.96;2431.05;186083
2024-08-12;2429.41;2473.15;2423.85;2473.11;156629
2024-08-13;2472.3;2476.98;2458.51;2464.75;170163
2024-08-14;2463.92;2479.96;2438.11;2447.76;185846
2024-08-15;2445.16;2470.13;2432.22;2456.37;181914
2024-08-16;2456.3;2509.75;2450.77;2507.35;176167
2024-08-19;2510.37;2510.37;2485.71;2504.2;187283
2024-08-20;2502.53;2531.74;2497.35;2514.1;179476
2024-08-21;2510.41;2519.91;2493.52;2511.85;173573
2024-08-22;2511.99;2514.68;2470.81;2484.26;185361
2024-08-23;2482.93;2518.35;2482.93;2511.91;183087
2024-08-26;2508.61;2526.88;2508.61;2518.21;174197
2024-08-27;2516.6;2525.97;2503.58;2524.48;167266
2024-08-28;2520.67;2529.05;2493.59;2504.5;183721
2024-08-29;2504.57;2528.73;2503.66;2521.25;186472
2024-08-30;2520.63;2526.91;2494.22;2503.34;186764
2024-09-02;2502.52;2507.29;2490.08;2499.31;115772
2024-09-03;2498.25;2506.29;2473.53;2492.9;201364
2024-09-04;2492.52;2500.28;2471.89;2496.09;184982
2024-09-05;2495.5;2523.55;2493.84;2516.13;182385
2024-09-06;2516.12;2529.28;2485.09;2497.54;211025
2024-09-09;2496.77;2507.19;2485.59;2506.27;189176
2024-09-10;2506.26;2518.49;2500.18;2516.57;179434
2024-09-11;2516.13;2529.08;2500.96;2511.62;209818
2024-09-12;2512.1;2560.09;2511.04;2558.46;200628
2024-09-13;2557.79;2586.11;2556.72;2578.35;201498
2024-09-16;2577.77;2589.68;2575.29;2582.97;160769
2024-09-17;2581.92;2586.98;2560.85;2569.85;171901
2024-09-18;2568.21;2600.11;2546.78;2559.2;205586
2024-09-19;2558.75;2594.9;2551.17;2586.81;232309
2024-09-20;2585.47;2625.75;2584.75;2622.26;206958
2024-09-23;2620.57;2634.86;2613.88;2628.36;193662
2024-09-24;2628.03;2664.36;2622.66;2657.02;228930
2024-09-25;2657.32;2670.6;2649.77;2657.14;209629
2024-09-26;2656.34;2685.59;2654.8;2672.23;220232
2024-09-27;2671.56;2674.31;2643.13;2659.79;230921
2024-09-30;2657.37;2666.06;2624.76;2635.09;217033
2024-10-01;2634.08;2673.11;2632.35;2663.72;187731
2024-10-02;2661.13;2663.36;2641.15;2659.01;198369
2024-10-03;2657.99;2662.98;2637.33;2656.08;205555
2024-10-04;2654.83;2670.19;2632.15;2653.55;196274
2024-10-07;2650.77;2659.65;2637.76;2642.83;206682
2024-10-08;2642.13;2652.98;2604.75;2621.93;251812
2024-10-09;2621.12;2624.36;2605.13;2608.01;210481
2024-10-10;2606.84;2631.52;2603.1;2629.26;216385
